,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Cluster
25,"Santa, The Man - Parody by Dan Hicks based on Song For My Father","The Christmas Jug Band', 'Dan Hicks",0.687,0.609,7,-6.389,0,0.0269,0.316,2.37e-05,0.566,0.592,109.238,268627,4,0
26,"Two Pieces for Six Handed Piano: No. 1, Valse","Sergei Rachmaninoff', 'Alfons Kontarsky', 'Anna Walachowski', 'Ines Walachowski",0.418,0.281,6,-20.388,0,0.0466,0.988,0.921,0.125,0.296,100.05,90000,4,1
27,Rafmagn - Demo Version Bonus Track,Stafrænn Hákon,0.188,0.451,10,-9.98,1,0.0339,0.0217,0.777,0.111,0.167,138.092,446446,4,3
28,Ain't Nobody Gonna Miss Me When I'm Gone,"Jim Greer', 'The Mac-O-Chee Valley Folks",0.626,0.646,10,-10.623,1,0.0313,0.59,0.00182,0.219,0.966,137.25,171040,4,4
29,Signals,Flat Worms,0.741,0.76,5,-5.359,0,0.0447,0.415,4.27e-06,0.095,0.588,120.01,167999,4,6
30,Farewell To Erin - Another Reel,"William Coulter & Friends', 'William Coulter",0.52,0.509,2,-9.887,1,0.0457,0.135,0.0392,0.0839,0.384,118.068,242267,4,4
31,Crack Open the Barrel,Flavigula,0.439,0.351,2,-17.469,1,0.0385,0.467,0.819,0.13,0.337,179.945,144010,3,3
32,Rats of Reality,Circle Jerks,0.449,0.787,4,-8.362,1,0.203,0.0134,2.12e-06,0.0952,0.305,125.643,199733,4,4
33,Like Perfume on a Pig,Le Matos,0.828,0.618,10,-6.062,1,0.0999,0.00371,0.000169,0.0887,0.374,128.0,331706,4,4
34,Together,Barbara Lea w/the Loren Schoenberg Big Band,0.389,0.784,0,-4.389,0,0.13,0.203,1.13e-05,0.201,0.484,178.093,206104,4,6
35,"Act III - ""Tu che a Dio spiegasti l'ali""","Anton de Ridder, Siegfried Vogel, Giuseppe Patane, Berlin Staatskapelle, German Staatsoper Berlin Choir",0.353,0.171,1,-14.092,1,0.0506,0.986,0.00103,0.21,0.144,117.005,288013,4,7
36,Pleasure Pains,Caleb Hinz,0.673,0.539,5,-7.648,0,0.0293,0.0249,0,0.188,0.333,117.689,256960,4,6
37,Only in Your Heart,"America', 'George Martin",0.453,0.579,0,-9.055,1,0.0441,0.591,0.0218,0.323,0.441,82.034,197000,4,4
38,What's Next,"South Park Coalition', 'Ruff Eyque', 'K-Rino', 'The Rhyme Felon",0.777,0.58,0,-6.928,0,0.0525,0.0125,0,0.161,0.0636,129.918,178154,4,6
39,Sewn Shut,The Minerals,0.305,0.969,4,-4.128,1,0.0984,0.00802,0.142,0.209,0.34,138.562,156466,4,4
40,Tidal Dreams,"Nautilus', 'Ben Barnett",0.189,0.996,10,-23.871,0,0.0485,0.692,0.139,0.923,1e-05,100.555,134264,1,0
41,Bout Dat - Main Version - Explicit,Huey,0.7,0.716,7,-5.223,1,0.338,0.12,0,0.093,0.673,162.05,251080,4,8
42,Walk Away,Dionne Warwick,0.641,0.373,1,-14.13,1,0.44,0.761,0,0.0993,0.282,100.268,120189,4,8
43,The Man from Yuma,David John and The Comstock Cowboys,0.456,0.852,2,-7.811,0,0.0593,0.27,0.274,0.325,0.736,122.768,246507,4,6
44,Wine and Women,"""10 'til 11""",0.661,0.836,1,-4.079,0,0.0297,0.00615,0,0.032,0.799,137.507,187385,4,6
45,REWARD TRIP,SPICE,0.362,0.89,1,-4.198,1,0.0572,0.000167,5.15e-06,0.279,0.699,164.163,102400,4,4
46,I Can't Live Without You,Dennis Jernigan,0.402,0.989,1,-0.572,1,0.153,4.78e-05,6.32e-06,0.339,0.398,179.987,229357,4,4
47,Johnson's Old Grey Mule,"J.E. Mainer', 'His Mountaineers",0.496,0.507,2,-10.445,1,0.0325,0.557,0.023,0.306,0.931,142.099,137000,4,4
48,Can't Get Your Love Back,Lexa Terrestrial,0.785,0.497,0,-9.081,1,0.133,0.0202,0.0241,0.244,0.648,89.001,208000,4,4
49,All I Need Is A Driver,Krista Detor,0.517,0.753,11,-8.766,1,0.0483,0.067,0,0.379,0.454,179.973,208667,4,4
50,Silver Shore,John Mark McMillan,0.456,0.748,9,-6.484,1,0.0493,0.511,0.00377,0.102,0.238,135.778,263680,4,4
51,The Man Behind the Gun,US Marine Band,0.618,0.217,11,-13.528,1,0.0499,0.739,0,0.123,0.465,120.641,182533,4,7
52,Bill,"Jerome Kern', 'Jane Monheit",0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827,4,6
53,Shows A Little,Tony Scherr,0.633,0.802,0,-5.133,1,0.0292,0.356,0,0.103,0.855,96.056,238533,4,4
54,Come Thou Fount of Every Blessing,Jeff Bjorck,0.346,0.2,3,-11.745,1,0.0326,0.935,1.62e-06,0.0944,0.419,143.655,224000,3,7
55,They Don't Know,Harriet Harris,0.514,0.727,0,-6.131,1,0.0492,0.126,0,0.0978,0.37,147.917,200400,4,4
56,Marty Mackfly,Noah Archangel,0.458,0.651,2,-11.053,0,0.264,0.481,0,0.204,0.886,80.959,155037,4,8
57,Panis Angelicus,Adrianne Price,0.207,0.0355,2,-26.918,1,0.0436,0.993,0.834,0.0921,0.0517,136.555,152529,5,1
58,Some Kind of Joke,AWOLNATION,0.484,0.781,1,-4.556,1,0.0303,0.00433,0.0158,0.286,0.295,104.025,292439,4,4
59,Summer No School,Sachal Vasandani,0.443,0.0526,11,-17.126,1,0.0393,0.974,0.0708,0.0983,0.205,129.571,257849,4,7
60,"Cinderella, Op. 87: Act II: Pavane","Sergei Prokofiev', 'Royal Scottish National Orchestra', 'Neeme Järvi",0.203,0.143,5,-18.165,1,0.036,0.961,0.818,0.24,0.11,175.39,238133,4,1
61,String Quartet No. 2 in A Major: II. Andante con variaciones,"Juan Crisóstomo Arriaga', 'Camerata Boccherini",0.328,0.0297,2,-25.254,1,0.0507,0.935,0.685,0.181,0.103,124.541,406080,4,1
62,"Symphony in D Major, Op. 12, No. 1, G. 503: III. Minue amoroso","Luigi Boccherini', 'German Chamber Academy Neuss', 'Johannes Goritzki",0.255,0.0377,2,-26.672,1,0.0426,0.972,0.765,0.128,0.246,91.843,392533,4,1
63,"24 Progressive Lessons, Op. 31: Study No. 24 in E Major","Fernando Sor', 'Jeffrey McFadden",0.185,0.176,4,-25.46,1,0.0498,0.99,0.92,0.108,0.92,168.56,50173,4,1
64,Intro,King Tiger,0.617,0.778,9,-8.872,0,0.027,0.459,0.925,0.128,0.152,100.363,127920,4,3
65,Petites esquisses d'oiseaux (Little Sketches of Birds): I. Le rouge-gorge (Robin),"Olivier Messiaen', 'Håkon Austbø",0.464,0.0122,8,-29.998,0,0.066,0.968,0.522,0.126,0.296,142.635,145293,4,1
66,"St. John Passion, BWV 245: Aria: Zerfliesse, mein Herze (Soprano)","Johann Sebastian Bach', 'The Scholars Baroque Ensemble",0.241,0.0226,4,-28.662,0,0.0444,0.985,0.323,0.085,0.0379,114.332,422893,4,1
67,"Sunflower Cat/It Takes A Lot To Laugh, It Takes A Train To Cry - Live - 1998/99",Bruce Hornsby,0.355,0.81,0,-6.044,1,0.0734,0.36,0.0125,0.973,0.709,204.372,562760,4,0
68,Como Se Pasa La Vida,Alberto Plaza,0.688,0.607,0,-8.341,1,0.0258,0.707,0,0.154,0.373,82.034,217211,4,4
69,Take Care,The Great Tyrant,0.629,0.515,0,-10.358,0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,277387,4,8
70,Hours Passing By,"Christina Gustafsson', 'Patrik Skogh', 'Johan Setterlind', 'Eva-Tea Lundberg', 'Hammar, Karin', 'Lisa Bedelius', 'Kristian Lind', 'Fredrik Jonsson', 'Calle Rasmusson', 'Sebastian Notini",0.751,0.654,2,-3.922,1,0.0823,0.0887,0,0.0761,0.675,118.115,268224,4,4
71,Man From Galilee,Ralph Stanley,0.617,0.485,5,-8.227,0,0.115,0.868,3.44e-05,0.115,0.845,82.228,158573,4,6
72,Algorithm,"Young RJ', 'Mega Ran', 'MC Frontalot', 'Abstract Orchestra",0.398,0.74,2,-3.563,1,0.0343,0.00115,0,0.252,0.324,104.549,251927,4,4
73,Smog,"Droptek', 'Vorso",0.575,0.732,9,-10.418,1,0.0293,0.00167,0,0.249,0.876,127.818,174155,4,4
74,Birdsong,Lhasa,0.664,0.713,1,-8.333,1,0.362,0.354,0,0.119,0.38,109.079,207145,5,8
75,Dreamies Program Ten Part One - 2006 Remaster Version,"""Bill Holt's Dreamies""",0.425,0.298,1,-19.051,1,0.0757,0.529,0,0.317,0.217,140.936,237760,4,7
76,Thermometer,Poppy,0.716,0.695,2,-4.613,1,0.332,0.00893,0,0.357,0.905,151.912,151703,4,8
77,Heart Pump,Spirits,0.596,0.909,10,-8.422,0,0.0685,0.00582,0.824,0.0882,0.476,92.49,270101,4,3
78,I've Got One Friend,Trance To The Sun,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,0.591,127.15,223760,4,7
79,Gettin' Ready,The Cowsills,0.729,0.34,4,-7.546,0,0.0514,0.122,0,0.186,0.0752,94.942,183289,4,6
80,"Die Walkure (Sung in English): Act II Scene 2: Then Siegmund must fall in his fight? (Brunnhilde, Wotan)","Richard Wagner', 'Alberto Remedios', 'Clifford Grant', 'Norman Bailey', 'Margaret Curphey', 'Rita Hunter', 'Anne Howard', 'Katie Clarke', 'Anne Conoley', 'Elizabeth Connell', 'Helen Attfield', 'Anne Evans', 'Sarah Walker', 'Shelagh Squires', 'Anne Collins', 'English National Opera Orchestra', 'Reginald Goodall",0,0,0,0,0,0,0,0,0,0,0,0,0,2
81,Another Pretty Face (Live),The Brunettes,0.488,0.573,6,-6.778,0,0.0333,0.0553,0,0.0613,0.145,124.04,216774,4,6
82,Entre Estas Cuatro Paredes,Palmenia Pizarro,0.795,0.452,2,-8.751,0,0.0484,0.845,1.15e-06,0.197,0.758,112.94,183925,4,6
83,Medicine Woman,Robert Finley,0.597,0.773,4,-5.544,0,0.0933,0.167,0.000896,0.126,0.652,104.486,157093,4,6
84,Pictures at an Exhibition (Orch. M. Ravel): IX. The Hut on Fowl's Legs (Baba-Yaga) - X. The Great Gate of Kiev,"Modest Mussorgsky', 'Maurice Ravel', 'Orchestre National De Lyon', 'Leonard Slatkin",0.293,0.112,3,-20.845,1,0.0421,0.926,0.823,0.093,0.131,113.392,545387,4,1
85,A L'amour,Nota Bene,0.817,0.876,10,-5.981,0,0.338,0.142,0.151,0.301,0.592,130.012,305423,4,8
86,Venha...,Carlos Dafé,0.715,0.92,3,-4.254,0,0.0737,0.357,0,0.817,0.883,141.959,121867,4,0
87,Tupac Shakur,Bynoe,0.916,0.844,7,-3.967,1,0.236,0.0394,0,0.0778,0.586,95.19,312627,4,8
88,Давай останемся дома - DJ Karimov & DJ Mephisto Remix,"Olga Buzova', 'DJ Karimov', 'DJ Mephisto",0.844,0.922,9,-5.166,0,0.0735,0.0325,0.099,0.107,0.695,120.001,245505,4,6
89,Burn Clean,Westside Gunn,0.463,0.588,9,-8.076,0,0.0391,0.301,0.00312,0.0853,0.424,105.988,233387,4,6
90,Траафтверк (feat. Thefaded),"kizaru', 'BMB', 'thefaded",0,0,0,0,0,0,0,0,0,0,0,0,0,2
91,"Isle Of Man [""O Land Of Our Birth…""]","Slovak Radio Symphony Orchestra', 'Peter Breiner",0,0,0,0,0,0,0,0,0,0,0,0,0,2
92,Wings of the Storm Interview - The Wagging Tongue Edition; 2019 Remaster,Whitesnake,0.657,0.356,7,-16.891,1,0.717,0.965,0,0.332,0.907,84.314,117248,4,8
93,Dear Life,"Vakill', 'Slug from Atmosphere', 'Copywrite', 'Camu Tao', 'Breeze Evahflowin', 'Jakki Tha Mota Mouth",0.511,0.672,1,-5.44,1,0.0279,0.0026,0.00688,0.254,0.553,165.997,224237,4,4
94,5.9 (The Percent Of The Beast),Crucial Dudes,0.482,0.981,2,-5.371,1,0.124,3.69e-05,0.000262,0.103,0.308,95.065,149507,4,4
95,Perceval la quete du Graal: Le Vendredi Saint Chez L'Ermite (Holy Friday with the Hermit): De Pascha (Chorus),"Sylvain Bergeron', 'Daniel Taylor', 'Claire Gignac', 'Viviane LeBlanc', 'Catherine Herrmann', 'Rafik Samman', 'Hugues Saint-Gelas', 'La Nef",0.245,0.0419,1,-27.587,0,0.0442,0.839,0,0.108,0.311,101.274,139200,4,1
96,In A Sentimental Mood,Dave Glasser,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,255227,4,7
97,I Long For Thy Virginitie,"Anonymous', 'Fires Of Love",0.422,0.21,1,-18.163,0,0.0589,0.987,0.847,0.104,0.208,125.983,330120,4,1
98,Dragqueen,Atomic Bitch,0.669,0.751,9,-10.482,1,0.0539,0.00118,0.798,0.0996,0.87,134.997,360920,4,3
99,Va det då?,Molly Sandén,0.627,0.489,10,-7.701,1,0.0296,0.0518,0,0.0928,0.597,130.021,199573,4,4
100,Wings Of Fang,Red Fang,0.253,0.926,1,-3.993,1,0.0715,1.31e-06,0.875,0.218,0.443,86.881,169347,4,3
101,Come the Morning Down on Me,Dan Craig,0.441,0.378,7,-9.498,1,0.0284,0.553,0.00629,0.133,0.228,120.679,289040,3,7
102,Organically Grown,"Steve Morse', 'Dave LaRue', 'Van Romain",0.828,0.463,2,-11.586,1,0.167,0.000483,0.0162,0.0909,0.0709,140.062,198857,4,4
103,"Ein deutsches Requiem (A German Requiem), Op. 45: Denn alles Fleisch ist wie Gras","Johannes Brahms', 'Miriam Gauci', 'Eduard Tumagian', 'Slovak Philharmonic Chorus', 'Slovak Radio Symphony Orchestra', 'Alexander Rahbari",0.174,0.142,10,-16.895,1,0.0381,0.958,0.932,0.0879,0.0838,110.678,872533,3,1
104,"Don Giovanni, K. 527 (Arr. F. Sor): Batti, batti, o bel Masetto","Wolfgang Amadeus Mozart', 'Nerea Berraondo', 'Eva Beneke",0.515,0.0679,4,-23.803,1,0.0556,0.984,0.000734,0.108,0.476,75.653,178800,4,7
105,Roses and Gold,Robin Jackson,0.621,0.532,7,-8.791,0,0.161,0.238,0.0387,0.148,0.384,84.999,194732,4,6
106,The Spirit,Saint,0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,296467,4,4
107,It's a Hit,50 Cent,0.522,0.865,0,-5.502,1,0.0413,0.148,0,0.0973,0.741,117.123,268333,4,4
108,Brain Explosion!,Texas Terri Bomb!,0.588,0.966,10,-4.854,0,0.137,0.00554,0,0.322,0.755,154.87,193548,4,6
109,I Am Rose,"Carole Farley', 'Ned Rorem",0.463,0.674,7,-5.422,1,0.0319,0.0115,0,0.123,0.259,84.039,255234,4,4
110,Gentle Anxious,Anamanaguchi,0.146,0.151,0,-24.866,1,0.0364,0.922,0.944,0.109,0.0385,77.525,214667,4,1
111,Old John Braddelum,"Sharon, Lois & Bram",0.871,0.21,0,-12.241,1,0.0597,0.562,0,0.0875,0.907,75.864,93213,4,4
112,Three Little Words,Alex Pangman,0.865,0.739,2,-5.077,0,0.0645,0.0264,2.48e-05,0.0664,0.709,121.992,184918,4,6
113,"Preludes, Op. 23: No. 4 in D","Sergei Rachmaninoff', 'Alexis Weissenberg",0.275,0.0147,2,-27.933,1,0.0364,0.994,0.911,0.075,0.0691,78.197,276560,1,1
114,Château rouge - Version album,Leeroy,0.62,0.803,5,-5.356,0,0.0369,0.00143,0.000473,0.196,0.884,146.078,189160,4,6
115,"Les saisons (The Seasons), Op. 37b (arr. P. Breiner): IV. April: Snowdrop","Peter Breiner', 'Pyotr Ilyich Tchaikovsky', 'Takako Nishizaki', 'Queensland Symphony Orchestra",0.174,0.0227,10,-27.306,1,0.0498,0.985,0.776,0.21,0.0402,166.259,217427,3,1
116,Nobody Else,The Simple Pleasure,0.569,0.291,0,-14.509,1,0.043,0.744,0,0.137,0.313,151.659,197480,4,7
117,Ever,Ellen Allien,0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,177280,4,4
118,Table,Maria Levitov,0.949,0.525,1,-7.096,1,0.169,0.00716,0,0.101,0.26,100.068,155500,4,4
119,Der King vom Prenzlauer Berg,City,0.572,0.851,10,-9.956,1,0.0514,0.154,0.00319,0.55,0.61,85.188,292333,4,0
120,Sanctuary Act Iii: Exiled to the Void - Remastered,Persefone,0.263,0.979,10,-4.617,1,0.216,0.000204,0.201,0.643,0.325,129.803,495293,3,0
121,"Lullay my Liking, Op. 34, No. 2","Gustav Holst', 'David Reece', 'Gary Wilson', 'Dale Warland Singers', 'Dale Warland",0.255,0.0158,7,-31.274,1,0.0588,0.993,0.251,0.0905,0.0399,108.181,221000,4,1
122,Burning Down Paradise,Tokyo Blade,0.488,0.94,8,-7.94,1,0.0687,0.00037,0.324,0.163,0.151,137.003,211500,4,3
123,Fractured,Joe Locke/Geoffrey Keezer Group,0.401,0.582,10,-9.838,0,0.123,0.222,0.0137,0.282,0.156,103.092,201992,4,6
124,I've Always Loved You,Mac Powell,0.549,0.77,4,-4.842,1,0.0247,0.17,0.000724,0.245,0.246,95.047,267640,4,4
125,Why Did You Do It,Gary Barden,0.748,0.755,6,-7.28,0,0.0782,0.0554,0,0.0628,0.886,98.284,211907,4,6
126,Wind Beneath My Wings,"Janno Gibbs', 'Bing Loyzaga",0.51,0.458,10,-7.566,1,0.0289,0.551,0,0.0853,0.177,123.694,293853,4,7
127,Wrap Your Troubles in Dreams,The Stephane Wrembel Trio With David Grisman,0.624,0.127,4,-17.382,0,0.0347,0.991,0.527,0.106,0.373,98.901,306893,4,7
128,Milky Way Wishes,"""Kirby's Dream Band""",0.323,0.795,7,-7.52,1,0.0612,4.55e-05,0.862,0.292,0.329,154.918,196678,4,3
129,Fake Empire - Live at Berkeley 9/24/18,The National,0.279,0.636,0,-13.581,1,0.073,0.00179,0.434,0.945,0.164,104.945,235675,3,0
130,"Symphony No. 2 in B-Flat Major, Op. 4, B. 12: IV. Finale. Allegro con fuoco","Antonín Dvořák', 'Staatskapelle Berlin', 'Otmar Suitner",0.239,0.233,10,-16.131,1,0.0353,0.958,0.916,0.0991,0.126,95.302,695667,4,1
131,"Sorceress Adagio (from ""The Prophecy"")",Roger Bellon,0,0,0,0,0,0,0,0,0,0,0,0,0,2
132,"Evocation, Op. 37: II. Adagio con tenerezza","Marcel Dupré', 'Mary Preston",0.131,0.000382,11,-41.792,1,0.0445,0.863,0.919,0.136,0.0448,72.616,474227,3,1
133,"Shh, It's A Secret",Red Elvises,0.415,0.844,2,-9.397,1,0.0679,0.0762,0,0.809,0.484,179.972,241947,4,0
134,Rise Of The Machine - Jason Page C64 Remix,"Chris Huelsbeck', 'Jason Page",0.523,0.97,8,-8.841,1,0.138,0.108,0.959,0.095,0.259,174.93,354859,4,3
135,A Door,Aaron Tippin,0.333,0.0578,3,-22.271,1,0.0454,0.996,0.907,0.105,0.046,67.088,38387,4,1
136,Cutter,James McMurtry,0.471,0.955,7,-5.219,1,0.121,0.00485,1.44e-06,0.162,0.35,139.266,232746,4,4
137,Two Rings,R. Mutt,0.434,0.749,11,-7.15,1,0.0524,0.52,0,0.376,0.8,167.749,198173,4,4
138,Translucent Space - Instrumental,Isadar,0.673,0.66,0,-11.607,1,0.0364,0.3,0.716,0.291,0.894,100.036,109472,4,4
139,A New Way,Crayon Jones,0.378,0.895,1,-4.347,1,0.0531,4.96e-05,0.0252,0.15,0.258,155.946,226400,4,4
140,Love Has No End,Kashif,0.646,0.499,7,-9.785,0,0.0437,0.228,0.000429,0.0737,0.431,87.935,370600,4,6
141,Doux,Marjo,0.642,0.102,6,-24.128,1,0.168,0.858,0.82,0.117,0.996,77.39,76000,3,1
142,"12 Lieder von Franz Schubert, S. 558: No. 4, Erlkönig","Franz Liszt', 'Murray Perahia",0.239,0.218,7,-18.514,0,0.0397,0.985,0.866,0.198,0.0713,87.854,248853,4,1
143,Neva Be The Same,Hillside Stranglaz,0.508,0.603,1,-10.193,1,0.441,0.232,0,0.0896,0.467,84.582,205611,4,8
144,Remember Me - Aesthetische Remix,Stray,0.719,0.752,6,-6.758,0,0.0368,0.00287,0.684,0.258,0.379,120.089,339413,4,3
145,"(sic) - Live at the Download Festival, 2009",Slipknot,0.247,0.988,6,-4.575,1,0.19,2.3e-06,0.57,0.428,0.116,103.37,225227,4,3
146,He Said,Calling Blue Jay,0.694,0.709,7,-6.205,0,0.103,0.0966,0,0.267,0.566,114.966,188000,4,6
147,Heavy Legs in the Mansion,Realize,0.323,0.615,4,-7.459,0,0.0284,0.894,0.909,0.128,0.249,82.661,116000,4,3
148,Odd Reflections,Shulman,0.691,0.595,0,-5.109,0,0.353,0.635,0.000791,0.117,0.744,81.029,201424,4,8
149,She's Leaving Home,Al Jarreau,0.381,0.214,4,-11.629,1,0.0337,0.944,0,0.106,0.393,127.581,215160,3,7
150,Tell Me,Wayne Baker Brooks,0.66,0.76,2,-5.726,1,0.0787,0.291,0,0.632,0.394,127.984,180129,4,0
151,Joan of Arc - Digitally Remastered,"Jennifer Warnes', 'Leonard Cohen",0.547,0.3,6,-12.561,1,0.0282,0.454,3.57e-06,0.0492,0.146,134.505,480627,3,7
152,Dreaming with Tears In My Eyes,Bono,0.716,0.249,3,-13.117,1,0.0313,0.984,0,0.245,0.493,134.188,178160,3,7
153,Mount of Olives Dub,Augustus Pablo,0.872,0.433,0,-10.772,1,0.111,0.165,0,0.0983,0.703,94.518,221000,4,4
154,"Concerto for Woodwinds, Harp and Orchestra: II. Grazioso","Paul Hindemith', 'Jiří Válek', 'František Kimel', 'Ivan Doksanský', 'Jiri Seidl', 'Jana Boušková', 'Czech Philharmonic Orchestra', 'Jiří Bělohlávek",0.445,0.145,10,-23.773,0,0.0375,0.963,0.711,0.133,0.214,79.226,177650,3,1
155,German Love Song,Dj Real,0.443,0.0879,10,-20.173,1,0.0788,0.971,0.926,0.107,0.126,130.021,202170,3,1
156,I Will Bow and Be Simple (arr. K. Siegfried),"Traditional', 'Kevin Siegfried', 'Tudor Choir, The', 'Doug Fullington",0.464,0.0421,2,-22.486,1,0.0331,0.994,1.64e-05,0.118,0.378,87.278,100773,4,7
157,The Damage Is Already Done,The Wood Floors,0.636,0.864,11,-3.919,1,0.0491,0.0314,0,0.102,0.892,160.009,199512,4,4
158,Wings,"Marquel Deljuan', 'Tony Choc",0.656,0.33,8,-8.771,1,0.162,0.818,0.00386,0.107,0.349,119.057,250120,4,7
159,I Don't Wanna Fight The Soviet,Angelic Upstarts,0.611,0.854,7,-6.958,1,0.0322,0.236,0.000161,0.68,0.686,136.258,182013,4,0
160,Who Am I,The Sun Paulo,0.545,0.472,11,-7.552,1,0.0279,0.434,0,0.0684,0.193,134.027,335907,4,7
161,El Ultimo Cafe,Maria Volonte,0.268,0.0387,4,-24.746,1,0.0361,0.868,0.954,0.11,0.085,129.267,277773,4,1
162,Zum Gali Gali (feat. Lil' Rev),"Fox & Branch', ""Lil' Rev""",0.651,0.235,11,-11.744,0,0.0596,0.841,0.0114,0.075,0.756,126.017,167213,4,6
163,What We Wanted (Instrumental),Setting Sun,0.628,0.309,10,-10.671,1,0.0279,0.449,0.719,0.354,0.367,71.902,213304,4,3
164,Remnant of a Hopeless Path,Deicide,0.581,0.965,10,-7.69,1,0.158,0.0077,0.821,0.364,0.0974,109.523,178733,4,3
165,Wasting Away,"Myke Bogan', 'Kazadi",0.432,0.934,6,-2.124,0,0.0926,0.0107,0,0.369,0.615,158.02,170587,4,6
166,Naturaleza Sangre,Fito Paez,0.451,0.944,4,-4.0,0,0.0581,0.000807,2.33e-06,0.405,0.557,136.29,173360,4,6
