,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
24,"Der Tag der ist so freudenreich, BuxWV 182","Dietrich Buxtehude', 'Bine Bryndorf",0.0666,0.0154,8,-25.823,1,0.0504,0.735,0.805,0.097,0.139,75.587,audio_features,1L7hRg706RatRubdOigkHR,spotify:track:1L7hRg706RatRubdOigkHR,https://api.spotify.com/v1/tracks/1L7hRg706RatRubdOigkHR,https://api.spotify.com/v1/audio-analysis/1L7hRg706RatRubdOigkHR,207867,4
25,"Santa, The Man - Parody by Dan Hicks based on Song For My Father","The Christmas Jug Band', 'Dan Hicks",0.687,0.609,7,-6.389,0,0.0269,0.316,2.37e-05,0.566,0.592,109.238,audio_features,6b0TOOlxWRM9c0nHaXFImi,spotify:track:6b0TOOlxWRM9c0nHaXFImi,https://api.spotify.com/v1/tracks/6b0TOOlxWRM9c0nHaXFImi,https://api.spotify.com/v1/audio-analysis/6b0TOOlxWRM9c0nHaXFImi,268627,4
26,"Two Pieces for Six Handed Piano: No. 1, Valse","Sergei Rachmaninoff', 'Alfons Kontarsky', 'Anna Walachowski', 'Ines Walachowski",0.418,0.281,6,-20.388,0,0.0466,0.988,0.921,0.125,0.296,100.05,audio_features,0LTodGY16Ux9vIp0AOEufL,spotify:track:0LTodGY16Ux9vIp0AOEufL,https://api.spotify.com/v1/tracks/0LTodGY16Ux9vIp0AOEufL,https://api.spotify.com/v1/audio-analysis/0LTodGY16Ux9vIp0AOEufL,90000,4
27,Rafmagn - Demo Version Bonus Track,Stafrænn Hákon,0.188,0.451,10,-9.98,1,0.0339,0.0217,0.777,0.111,0.167,138.092,audio_features,0VibxKBj1OAy3dvl1CW4F2,spotify:track:0VibxKBj1OAy3dvl1CW4F2,https://api.spotify.com/v1/tracks/0VibxKBj1OAy3dvl1CW4F2,https://api.spotify.com/v1/audio-analysis/0VibxKBj1OAy3dvl1CW4F2,446446,4
28,Ain't Nobody Gonna Miss Me When I'm Gone,"Jim Greer', 'The Mac-O-Chee Valley Folks",0.626,0.646,10,-10.623,1,0.0313,0.59,0.00182,0.219,0.966,137.25,audio_features,2kTY6BWrFJXwsG64i5tvcT,spotify:track:2kTY6BWrFJXwsG64i5tvcT,https://api.spotify.com/v1/tracks/2kTY6BWrFJXwsG64i5tvcT,https://api.spotify.com/v1/audio-analysis/2kTY6BWrFJXwsG64i5tvcT,171040,4
29,Signals,Flat Worms,0.741,0.76,5,-5.359,0,0.0447,0.415,4.27e-06,0.095,0.588,120.01,audio_features,3Zs7UPRJeoy3uycdPHVfwv,spotify:track:3Zs7UPRJeoy3uycdPHVfwv,https://api.spotify.com/v1/tracks/3Zs7UPRJeoy3uycdPHVfwv,https://api.spotify.com/v1/audio-analysis/3Zs7UPRJeoy3uycdPHVfwv,167999,4
30,Farewell To Erin - Another Reel,"William Coulter & Friends', 'William Coulter",0.52,0.509,2,-9.887,1,0.0457,0.135,0.0392,0.0839,0.384,118.068,audio_features,4HJhlGPrJ5lDcmucP0NvEy,spotify:track:4HJhlGPrJ5lDcmucP0NvEy,https://api.spotify.com/v1/tracks/4HJhlGPrJ5lDcmucP0NvEy,https://api.spotify.com/v1/audio-analysis/4HJhlGPrJ5lDcmucP0NvEy,242267,4
31,Crack Open the Barrel,Flavigula,0.439,0.351,2,-17.469,1,0.0385,0.467,0.819,0.13,0.337,179.945,audio_features,3YOxIkofBBxUu3tPIEpvG5,spotify:track:3YOxIkofBBxUu3tPIEpvG5,https://api.spotify.com/v1/tracks/3YOxIkofBBxUu3tPIEpvG5,https://api.spotify.com/v1/audio-analysis/3YOxIkofBBxUu3tPIEpvG5,144010,3
32,Rats of Reality,Circle Jerks,0.449,0.787,4,-8.362,1,0.203,0.0134,2.12e-06,0.0952,0.305,125.643,audio_features,4NhuXHZ21B2YNAdgRrDjRa,spotify:track:4NhuXHZ21B2YNAdgRrDjRa,https://api.spotify.com/v1/tracks/4NhuXHZ21B2YNAdgRrDjRa,https://api.spotify.com/v1/audio-analysis/4NhuXHZ21B2YNAdgRrDjRa,199733,4
33,Like Perfume on a Pig,Le Matos,0.828,0.618,10,-6.062,1,0.0999,0.00371,0.000169,0.0887,0.374,128.0,audio_features,2rl6vTqSPsK6E8r0vTJdhX,spotify:track:2rl6vTqSPsK6E8r0vTJdhX,https://api.spotify.com/v1/tracks/2rl6vTqSPsK6E8r0vTJdhX,https://api.spotify.com/v1/audio-analysis/2rl6vTqSPsK6E8r0vTJdhX,331706,4
34,Together,Barbara Lea w/the Loren Schoenberg Big Band,0.389,0.784,0,-4.389,0,0.13,0.203,1.13e-05,0.201,0.484,178.093,audio_features,2Cj5LxM6O2HWQIr9p9h3TH,spotify:track:2Cj5LxM6O2HWQIr9p9h3TH,https://api.spotify.com/v1/tracks/2Cj5LxM6O2HWQIr9p9h3TH,https://api.spotify.com/v1/audio-analysis/2Cj5LxM6O2HWQIr9p9h3TH,206104,4
35,"Act III - ""Tu che a Dio spiegasti l'ali""","Anton de Ridder, Siegfried Vogel, Giuseppe Patane, Berlin Staatskapelle, German Staatsoper Berlin Choir",0.353,0.171,1,-14.092,1,0.0506,0.986,0.00103,0.21,0.144,117.005,audio_features,1qBbQ0jHCcusKikHSMc1f8,spotify:track:1qBbQ0jHCcusKikHSMc1f8,https://api.spotify.com/v1/tracks/1qBbQ0jHCcusKikHSMc1f8,https://api.spotify.com/v1/audio-analysis/1qBbQ0jHCcusKikHSMc1f8,288013,4
36,Pleasure Pains,Caleb Hinz,0.673,0.539,5,-7.648,0,0.0293,0.0249,0,0.188,0.333,117.689,audio_features,74glbwcJjpaHIk4uqHilnM,spotify:track:74glbwcJjpaHIk4uqHilnM,https://api.spotify.com/v1/tracks/74glbwcJjpaHIk4uqHilnM,https://api.spotify.com/v1/audio-analysis/74glbwcJjpaHIk4uqHilnM,256960,4
37,Only in Your Heart,"America', 'George Martin",0.453,0.579,0,-9.055,1,0.0441,0.591,0.0218,0.323,0.441,82.034,audio_features,1Wlzkd8MudkGiUL3l7u7Rl,spotify:track:1Wlzkd8MudkGiUL3l7u7Rl,https://api.spotify.com/v1/tracks/1Wlzkd8MudkGiUL3l7u7Rl,https://api.spotify.com/v1/audio-analysis/1Wlzkd8MudkGiUL3l7u7Rl,197000,4
38,What's Next,"South Park Coalition', 'Ruff Eyque', 'K-Rino', 'The Rhyme Felon",0.777,0.58,0,-6.928,0,0.0525,0.0125,0,0.161,0.0636,129.918,audio_features,3mDFLytDotXo2p0rvfGbkA,spotify:track:3mDFLytDotXo2p0rvfGbkA,https://api.spotify.com/v1/tracks/3mDFLytDotXo2p0rvfGbkA,https://api.spotify.com/v1/audio-analysis/3mDFLytDotXo2p0rvfGbkA,178154,4
39,Sewn Shut,The Minerals,0.305,0.969,4,-4.128,1,0.0984,0.00802,0.142,0.209,0.34,138.562,audio_features,6VyMnnLgp2RjHBNdfP7Vdb,spotify:track:6VyMnnLgp2RjHBNdfP7Vdb,https://api.spotify.com/v1/tracks/6VyMnnLgp2RjHBNdfP7Vdb,https://api.spotify.com/v1/audio-analysis/6VyMnnLgp2RjHBNdfP7Vdb,156466,4
40,Tidal Dreams,"Nautilus', 'Ben Barnett",0.189,0.996,10,-23.871,0,0.0485,0.692,0.139,0.923,1e-05,100.555,audio_features,3NNQkFEuOguL8pyhsLA28S,spotify:track:3NNQkFEuOguL8pyhsLA28S,https://api.spotify.com/v1/tracks/3NNQkFEuOguL8pyhsLA28S,https://api.spotify.com/v1/audio-analysis/3NNQkFEuOguL8pyhsLA28S,134264,1
41,Bout Dat - Main Version - Explicit,Huey,0.7,0.716,7,-5.223,1,0.338,0.12,0,0.093,0.673,162.05,audio_features,1CVxZEawzezxP30KE2HasL,spotify:track:1CVxZEawzezxP30KE2HasL,https://api.spotify.com/v1/tracks/1CVxZEawzezxP30KE2HasL,https://api.spotify.com/v1/audio-analysis/1CVxZEawzezxP30KE2HasL,251080,4
42,Walk Away,Dionne Warwick,0.641,0.373,1,-14.13,1,0.44,0.761,0,0.0993,0.282,100.268,audio_features,6mhMFztI38c0CZr8CEnPrD,spotify:track:6mhMFztI38c0CZr8CEnPrD,https://api.spotify.com/v1/tracks/6mhMFztI38c0CZr8CEnPrD,https://api.spotify.com/v1/audio-analysis/6mhMFztI38c0CZr8CEnPrD,120189,4
43,The Man from Yuma,David John and The Comstock Cowboys,0.456,0.852,2,-7.811,0,0.0593,0.27,0.274,0.325,0.736,122.768,audio_features,7InTEXfXWlS8HpsRhvUXGX,spotify:track:7InTEXfXWlS8HpsRhvUXGX,https://api.spotify.com/v1/tracks/7InTEXfXWlS8HpsRhvUXGX,https://api.spotify.com/v1/audio-analysis/7InTEXfXWlS8HpsRhvUXGX,246507,4
44,Wine and Women,"""10 'til 11""",0.661,0.836,1,-4.079,0,0.0297,0.00615,0,0.032,0.799,137.507,audio_features,08KTQSs3ickNki7FFTb6fY,spotify:track:08KTQSs3ickNki7FFTb6fY,https://api.spotify.com/v1/tracks/08KTQSs3ickNki7FFTb6fY,https://api.spotify.com/v1/audio-analysis/08KTQSs3ickNki7FFTb6fY,187385,4
45,REWARD TRIP,SPICE,0.362,0.89,1,-4.198,1,0.0572,0.000167,5.15e-06,0.279,0.699,164.163,audio_features,7MfvgsgjQlvEPWtau39Vh5,spotify:track:7MfvgsgjQlvEPWtau39Vh5,https://api.spotify.com/v1/tracks/7MfvgsgjQlvEPWtau39Vh5,https://api.spotify.com/v1/audio-analysis/7MfvgsgjQlvEPWtau39Vh5,102400,4
46,I Can't Live Without You,Dennis Jernigan,0.402,0.989,1,-0.572,1,0.153,4.78e-05,6.32e-06,0.339,0.398,179.987,audio_features,1oFx08aFKXWlxv0hkzb1Ok,spotify:track:1oFx08aFKXWlxv0hkzb1Ok,https://api.spotify.com/v1/tracks/1oFx08aFKXWlxv0hkzb1Ok,https://api.spotify.com/v1/audio-analysis/1oFx08aFKXWlxv0hkzb1Ok,229357,4
47,Johnson's Old Grey Mule,"J.E. Mainer', 'His Mountaineers",0.496,0.507,2,-10.445,1,0.0325,0.557,0.023,0.306,0.931,142.099,audio_features,3v7NViG86hK7AL0x8KKTlc,spotify:track:3v7NViG86hK7AL0x8KKTlc,https://api.spotify.com/v1/tracks/3v7NViG86hK7AL0x8KKTlc,https://api.spotify.com/v1/audio-analysis/3v7NViG86hK7AL0x8KKTlc,137000,4
48,Can't Get Your Love Back,Lexa Terrestrial,0.785,0.497,0,-9.081,1,0.133,0.0202,0.0241,0.244,0.648,89.001,audio_features,5JrAIzf0fXgsgYruNbYgvw,spotify:track:5JrAIzf0fXgsgYruNbYgvw,https://api.spotify.com/v1/tracks/5JrAIzf0fXgsgYruNbYgvw,https://api.spotify.com/v1/audio-analysis/5JrAIzf0fXgsgYruNbYgvw,208000,4
49,All I Need Is A Driver,Krista Detor,0.517,0.753,11,-8.766,1,0.0483,0.067,0,0.379,0.454,179.973,audio_features,5smUkwWp6jvAKW2muGGQAN,spotify:track:5smUkwWp6jvAKW2muGGQAN,https://api.spotify.com/v1/tracks/5smUkwWp6jvAKW2muGGQAN,https://api.spotify.com/v1/audio-analysis/5smUkwWp6jvAKW2muGGQAN,208667,4
50,Silver Shore,John Mark McMillan,0.456,0.748,9,-6.484,1,0.0493,0.511,0.00377,0.102,0.238,135.778,audio_features,52qWF43k2cJZdmLowCF3x6,spotify:track:52qWF43k2cJZdmLowCF3x6,https://api.spotify.com/v1/tracks/52qWF43k2cJZdmLowCF3x6,https://api.spotify.com/v1/audio-analysis/52qWF43k2cJZdmLowCF3x6,263680,4
51,The Man Behind the Gun,US Marine Band,0.618,0.217,11,-13.528,1,0.0499,0.739,0,0.123,0.465,120.641,audio_features,6ogth8dNQWkdDalwHefKZ2,spotify:track:6ogth8dNQWkdDalwHefKZ2,https://api.spotify.com/v1/tracks/6ogth8dNQWkdDalwHefKZ2,https://api.spotify.com/v1/audio-analysis/6ogth8dNQWkdDalwHefKZ2,182533,4
52,Bill,"Jerome Kern', 'Jane Monheit",0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
53,Shows A Little,Tony Scherr,0.633,0.802,0,-5.133,1,0.0292,0.356,0,0.103,0.855,96.056,audio_features,2k4wRfqzoY6JYL0Xulgza6,spotify:track:2k4wRfqzoY6JYL0Xulgza6,https://api.spotify.com/v1/tracks/2k4wRfqzoY6JYL0Xulgza6,https://api.spotify.com/v1/audio-analysis/2k4wRfqzoY6JYL0Xulgza6,238533,4
54,Come Thou Fount of Every Blessing,Jeff Bjorck,0.346,0.2,3,-11.745,1,0.0326,0.935,1.62e-06,0.0944,0.419,143.655,audio_features,0f9U92JG3vu8BH3PTvxySR,spotify:track:0f9U92JG3vu8BH3PTvxySR,https://api.spotify.com/v1/tracks/0f9U92JG3vu8BH3PTvxySR,https://api.spotify.com/v1/audio-analysis/0f9U92JG3vu8BH3PTvxySR,224000,3
55,They Don't Know,Harriet Harris,0.514,0.727,0,-6.131,1,0.0492,0.126,0,0.0978,0.37,147.917,audio_features,6M31fPFCYB8Job3MCjjrDV,spotify:track:6M31fPFCYB8Job3MCjjrDV,https://api.spotify.com/v1/tracks/6M31fPFCYB8Job3MCjjrDV,https://api.spotify.com/v1/audio-analysis/6M31fPFCYB8Job3MCjjrDV,200400,4
56,Marty Mackfly,Noah Archangel,0.458,0.651,2,-11.053,0,0.264,0.481,0,0.204,0.886,80.959,audio_features,1OLsFhXwwbZXGmH3vg2dgZ,spotify:track:1OLsFhXwwbZXGmH3vg2dgZ,https://api.spotify.com/v1/tracks/1OLsFhXwwbZXGmH3vg2dgZ,https://api.spotify.com/v1/audio-analysis/1OLsFhXwwbZXGmH3vg2dgZ,155037,4
57,Panis Angelicus,Adrianne Price,0.207,0.0355,2,-26.918,1,0.0436,0.993,0.834,0.0921,0.0517,136.555,audio_features,6zBXu3abrKBQT8uSqftoW5,spotify:track:6zBXu3abrKBQT8uSqftoW5,https://api.spotify.com/v1/tracks/6zBXu3abrKBQT8uSqftoW5,https://api.spotify.com/v1/audio-analysis/6zBXu3abrKBQT8uSqftoW5,152529,5
58,Some Kind of Joke,AWOLNATION,0.484,0.781,1,-4.556,1,0.0303,0.00433,0.0158,0.286,0.295,104.025,audio_features,2VlHWRniOo0XzzXOfovzIA,spotify:track:2VlHWRniOo0XzzXOfovzIA,https://api.spotify.com/v1/tracks/2VlHWRniOo0XzzXOfovzIA,https://api.spotify.com/v1/audio-analysis/2VlHWRniOo0XzzXOfovzIA,292439,4
59,Summer No School,Sachal Vasandani,0.443,0.0526,11,-17.126,1,0.0393,0.974,0.0708,0.0983,0.205,129.571,audio_features,371htDBSqf6eqHbDCJwrfS,spotify:track:371htDBSqf6eqHbDCJwrfS,https://api.spotify.com/v1/tracks/371htDBSqf6eqHbDCJwrfS,https://api.spotify.com/v1/audio-analysis/371htDBSqf6eqHbDCJwrfS,257849,4
60,"Cinderella, Op. 87: Act II: Pavane","Sergei Prokofiev', 'Royal Scottish National Orchestra', 'Neeme Järvi",0.203,0.143,5,-18.165,1,0.036,0.961,0.818,0.24,0.11,175.39,audio_features,0u6xYYvyIUJEUXG2Jzs6gW,spotify:track:0u6xYYvyIUJEUXG2Jzs6gW,https://api.spotify.com/v1/tracks/0u6xYYvyIUJEUXG2Jzs6gW,https://api.spotify.com/v1/audio-analysis/0u6xYYvyIUJEUXG2Jzs6gW,238133,4
61,String Quartet No. 2 in A Major: II. Andante con variaciones,"Juan Crisóstomo Arriaga', 'Camerata Boccherini",0.328,0.0297,2,-25.254,1,0.0507,0.935,0.685,0.181,0.103,124.541,audio_features,1gpq4jdxub9czz1OtKoGsp,spotify:track:1gpq4jdxub9czz1OtKoGsp,https://api.spotify.com/v1/tracks/1gpq4jdxub9czz1OtKoGsp,https://api.spotify.com/v1/audio-analysis/1gpq4jdxub9czz1OtKoGsp,406080,4
62,"Symphony in D Major, Op. 12, No. 1, G. 503: III. Minue amoroso","Luigi Boccherini', 'German Chamber Academy Neuss', 'Johannes Goritzki",0.255,0.0377,2,-26.672,1,0.0426,0.972,0.765,0.128,0.246,91.843,audio_features,5M4ooiJXBMd6Gk2vZVfc0V,spotify:track:5M4ooiJXBMd6Gk2vZVfc0V,https://api.spotify.com/v1/tracks/5M4ooiJXBMd6Gk2vZVfc0V,https://api.spotify.com/v1/audio-analysis/5M4ooiJXBMd6Gk2vZVfc0V,392533,4
63,"24 Progressive Lessons, Op. 31: Study No. 24 in E Major","Fernando Sor', 'Jeffrey McFadden",0.185,0.176,4,-25.46,1,0.0498,0.99,0.92,0.108,0.92,168.56,audio_features,5OLQYMrFrRVdCKYAzMhdxx,spotify:track:5OLQYMrFrRVdCKYAzMhdxx,https://api.spotify.com/v1/tracks/5OLQYMrFrRVdCKYAzMhdxx,https://api.spotify.com/v1/audio-analysis/5OLQYMrFrRVdCKYAzMhdxx,50173,4
64,Intro,King Tiger,0.617,0.778,9,-8.872,0,0.027,0.459,0.925,0.128,0.152,100.363,audio_features,5VfEuwErhx6X4eaPbyBfyu,spotify:track:5VfEuwErhx6X4eaPbyBfyu,https://api.spotify.com/v1/tracks/5VfEuwErhx6X4eaPbyBfyu,https://api.spotify.com/v1/audio-analysis/5VfEuwErhx6X4eaPbyBfyu,127920,4
